"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"81.829.012,60";"10.715.381,47";"10.631.828,27";"1.128.179,96";
"07/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"759.876,57";"13.075.360,16";"15.262.430,55";"301.105,10";
"03/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"1.949.993,29";"12.207.125,26";"11.049.496,92";"1.618.280,21";
"04/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"13.263.884,44";"11.435.883,58";"12.363.491,21";"457.393,92";
"08/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"2.132.951,42";"1.641.678,76";"15.653.845,87";"385.827,47";
"05/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"15.597.977,07";"13.318.303,92";"11.451.863,05";"29.523,46";
"06/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"3.113.446,83";"13.938.678,15";"12.139.672,23";"572.999,14";
"07/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"7.414.654,94";"43.314.980,67";"48.691.736,13";"943.717,05";
"08/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"5.810.596,99";"21.852.880,95";"53.393.588,18";"411.793,64";
"06/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"21.562.644,00";"49.262.748,01";"44.799.178,19";"15.468.881,81";
"04/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"158.468.512,58";"32.873.219,65";"39.461.783,43";"7.278.842,77";
"01/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"285.063.138,90";"21.614.038,62";"7.387.438,06";"34.254.330,74";
"02/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"29.994.565,33";"25.208.412,81";"25.659.314,66";"12.124.285,42";
"03/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"4.329.385,99";"43.410.054,05";"33.805.620,50";"8.369.076,58";
"05/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"61.210.031,83";"46.311.175,86";"38.856.817,68";"6.423.053,49";
"08/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"22.493.025,39";"10.316.961,90";"79.251.613,23";"50.769,27";
"07/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"69.465.291,66";"60.403.953,18";"69.015.108,97";"253.202,55";
"06/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"60.538.913,45";"81.695.926,18";"65.558.210,48";"712.010,76";
"02/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"26.973.953,47";"53.304.618,20";"52.950.628,95";"2.507.993,70";
"04/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"40.118.693,48";"54.787.268,50";"55.286.106,25";"1.330.810,98";
"01/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"139.928.603,02";"50.037.308,68";"16.304.739,52";"50.525.996,06";
"05/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"117.510.445,85";"62.083.832,90";"51.708.463,41";"91.185,24";
"03/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"59.147.370,30";"56.639.560,77";"57.310.260,15";"3.858.083,11";
"02/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"3.687.224,25";"10.913.892,94";"10.804.124,39";"7.274.170,53";
"04/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"30.896.423,64";"14.970.444,32";"13.365.876,81";"5.728.240,98";
"06/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"6.118.576,72";"33.849.612,58";"30.501.969,37";"804.463,25";
"07/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"24.753.268,65";"51.750.208,82";"52.358.671,00";"101.561,64";
"08/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"8.155.110,98";"10.761.399,82";"23.261.029,80";"404.664,55";
"03/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"- 65.222,07";"15.597.508,06";"15.689.686,69";"4.735.056,78";
"01/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"141.524.094,89";"8.682.475,93";"3.008.137,30";"19.608.559,05";
"05/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"171.648.707,60";"42.590.310,59";"43.130.499,56";"5.778.908,23";
"01/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"11.540.896,07";"7.845.066,11";"2.788.570,39";"10.976.096,27";
"04/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"10.182.685,42";"10.176.401,77";"10.077.316,52";"380.951.903,68";
"02/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"101.303.239,92";"8.939.080,51";"8.715.193,81";"695.432,80";
"05/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"2.193.191,52";"10.959.931,31";"9.609.678,70";"202.064.866,18";
"06/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"205.247.619,39";"199.984.985,01";"9.816.807,39";"163.560,58";
"07/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"1.063.310.132,62";"210.466.513,88";"400.432.234,70";"12.293.649,61";
"08/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"732.839,58";"3.156.330,87";"12.370.719,92";"47.429,70";
"03/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"- 2.390.417,42";"9.157.250,20";"9.486.713,93";"200.252.904,47";
"05/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"7.339.747.450,90";"7.417.031.967,26";"7.413.628.132,85";"2.645.478,33";
"07/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"1.842.671.637,14";"752.979.799,97";"760.328.811,91";"680.125,26";
"03/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.167.048.021,15";"3.151.081.801,48";"3.148.132.354,53";"13.199.008,76";
"02/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"5.315.648.898,07";"5.328.341.726,04";"5.328.240.296,14";"2.977.234.059,81";
"06/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"2.963.253.315,28";"3.027.529.953,94";"3.018.400.331,27";"308.577,62";
"04/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.019.076.717,55";"2.892.659.310,82";"2.896.725.350,64";"5.625.026,66";
"01/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"295.194.178,88";"20.873.960,74";"6.657.642,35";"3.253.979.753,15";
"08/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"6.690.457.820,87";"2.035.026.759,35";"2.064.745.208,45";"1.007.733,13";
"01/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"108.217.584,10";"32.295.890,53";"10.877.336,85";"33.689.584,81";
"06/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"13.996.446,54";"51.972.056,93";"39.377.420,96";"3.397.495,35";
"04/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"320.390.985,12";"39.972.731,76";"39.758.494,63";"1.361.504,06";
"05/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"11.738.093,00";"45.726.741,44";"39.016.755,31";"2.494.292,93";
"03/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"12.712.436,25";"42.024.620,06";"48.422.108,47";"11.728.662,26";
"02/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"16.590.561,14";"35.771.016,43";"30.191.036,56";"5.404.616,11";
"07/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"8.849.570,62";"44.576.305,34";"52.224.254,83";"985.088,16";
"08/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"3.973.552,71";"6.056.951,11";"48.543.058,47";"267.018,98";
"05/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"40.857.519,34";"38.425.081,02";"32.465.799,11";"6.030.780,18";
"08/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"1.441.301,95";"8.897.416,44";"38.318.418,35";"2.448.818,82";
"04/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"883.856,76";"27.705.502,01";"26.715.853,95";"4.244.478,46";
"07/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"3.591.300,73";"36.132.393,30";"46.324.996,81";"2.737.511,10";
"02/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"37.600.709,75";"30.104.446,18";"27.952.407,03";"3.183.770,10";
"01/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"324.520.691,99";"21.708.274,38";"144.417,08";"29.276.297,09";
"03/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"5.119.107,98";"35.240.005,86";"30.601.822,80";"4.121.420,32";
"06/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"75.015.999,68";"39.644.578,71";"36.043.047,10";"8.303.383,65";
"06/2023";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"273.163,83";"261.109,44";"257.589,99";"0,00";
"04/2023";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"344.008,78";"259.534,02";"199.858,74";"228.262,02";
"07/2023";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"94.200,00";"258.989,86";"261.141,39";"0,00";
"05/2023";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"1.961.944,49";"289.099,23";"342.988,93";"419.980,00";
"08/2023";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"468.213,17";"250.731,61";"244.357,73";"0,00";
"01/2023";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"342.941.229,32";"284.341.304,63";"15.157.500,95";"273.877.643,45";
"05/2023";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"407.835.100,47";"326.452.882,65";"401.082.336,21";"5.850.313,12";
